id,FAC,DATE,CARDINAL,GPE,ORG,PERSON,TIME,WORK_OF_ART,ORDINAL,LOC,NORP,PRODUCT,MONEY,LAW,EVENT,PERCENT,QUANTITY,LANGUAGE
orhjxe,0,13,4,12,15,2,3,1,0,1,0,0,2,0,0,0,1,0
ork5e7,1,16,6,12,10,5,4,0,4,0,0,0,0,0,0,0,1,0
orlk5p,0,5,4,6,8,10,0,0,0,3,0,1,0,0,0,0,0,0
orhppj,0,2,0,2,2,3,3,0,0,2,1,0,0,0,0,0,1,0
ork9a8,0,16,2,11,12,27,3,0,0,1,6,0,0,1,0,0,0,0
orkm3c,0,1,6,1,6,2,1,0,0,0,0,0,3,0,0,0,0,0
origeg,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
orgypn,0,0,2,1,8,21,1,0,0,0,0,0,0,0,0,0,0,0
orkzmi,0,6,1,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0
orm3xm,0,8,0,19,10,6,0,0,0,3,4,0,0,0,4,0,0,0
orflue,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
orgdr8,0,6,4,18,6,2,1,0,0,0,9,0,0,0,0,0,2,0
orm5u3,7,18,17,31,11,6,2,1,0,5,3,0,0,0,0,3,10,0
orhpeq,0,4,1,12,12,6,0,1,1,0,2,0,0,0,1,0,0,0
orf8mq,0,1,0,4,4,3,0,0,0,1,0,0,0,0,0,0,0,0
ormk2l,0,8,2,12,17,4,0,0,0,0,2,0,0,0,0,1,0,0
ornvkr,0,14,6,12,11,23,3,0,0,1,5,0,0,1,0,2,0,0
ornydf,0,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,1,0
orogzi,0,8,3,4,4,2,3,0,0,1,2,0,0,0,0,0,0,0
orrl3m,0,5,7,4,7,1,3,0,0,0,0,0,0,0,0,0,2,0
orqvln,0,3,1,4,2,6,2,0,4,0,0,1,0,0,0,0,0,0
orv69d,2,15,8,18,20,10,0,0,0,0,5,0,3,0,0,1,0,0
orqw1c,0,9,2,2,33,2,0,0,1,18,2,0,8,0,0,3,6,0
oru2zw,0,1,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
oru3mb,1,22,13,16,13,7,0,0,1,2,1,2,1,0,0,0,0,0
oruarc,0,20,10,5,18,2,0,0,4,0,9,0,0,0,0,0,0,0
orvuta,0,12,9,7,4,14,5,0,1,1,1,1,0,0,1,0,1,0
orweyo,0,2,0,4,8,8,0,0,0,0,3,0,0,0,0,0,0,0
orttpp,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ortmqo,2,7,2,11,5,9,1,1,2,0,2,0,0,0,0,0,0,0
oryo90,0,20,3,20,20,12,0,1,3,0,0,0,0,0,0,7,0,0
os04q9,0,5,3,10,9,14,0,0,3,0,2,0,0,0,0,0,0,0
orxw5b,0,24,2,30,16,11,0,0,3,4,5,1,0,0,0,2,0,0
orzbe6,0,7,1,6,3,6,0,0,0,1,1,0,0,0,0,0,0,0
os03qc,0,29,5,14,12,16,1,0,1,1,3,1,0,0,0,2,0,0
oryo2b,1,4,2,6,25,4,0,0,0,0,3,2,0,0,0,0,0,0
os1k32,0,3,1,3,12,15,0,0,1,0,0,0,0,1,0,2,0,0
orxsoo,0,9,4,18,4,5,0,0,0,0,7,0,0,0,1,0,0,0
ory6fi,0,16,2,19,31,26,0,0,2,0,1,2,8,0,0,4,0,0
orz98x,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
orxx2d,0,18,5,39,18,8,2,0,0,0,17,0,0,0,0,0,0,0
os0pvn,1,13,3,8,2,7,0,0,0,0,2,0,0,0,0,0,0,0
os1vgg,0,4,0,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0
os1teb,0,6,6,3,14,1,0,0,0,0,4,0,0,0,0,0,0,0
orzjcs,0,2,1,8,8,2,0,1,1,1,0,0,0,0,0,0,0,0
os7mcu,0,28,0,8,8,58,2,0,5,0,0,2,1,0,0,0,0,0
os41j9,0,14,2,5,6,3,1,0,1,0,2,2,0,0,0,2,0,0
os5ukt,0,5,4,2,4,1,0,0,0,0,3,0,0,0,0,0,0,0
os5atq,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
os82r3,0,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
os3nha,0,8,2,6,14,3,1,0,0,0,0,1,0,0,0,0,0,0
os4vzi,0,4,2,8,5,5,1,0,0,1,0,0,0,0,0,1,0,0
os7rpv,0,3,0,1,5,0,0,0,0,0,3,0,0,0,0,0,0,0
os6aaq,0,7,2,5,4,1,1,0,1,0,0,0,0,0,0,0,0,0
osa5ih,0,10,4,5,24,15,1,0,0,0,5,1,1,0,0,1,0,0
os89z3,0,5,1,9,8,4,0,0,0,0,0,1,0,0,0,0,2,0
os3s99,0,20,6,14,41,50,0,0,2,0,0,0,5,0,0,0,1,0
osaffd,0,6,3,6,12,4,1,2,0,0,0,0,1,0,0,0,0,0
os8e5t,4,15,12,10,8,9,2,0,0,7,0,0,0,0,0,4,5,0
os981n,0,17,4,11,11,19,0,0,0,0,5,0,0,0,0,0,0,0
os4071,3,5,3,4,9,10,0,0,1,0,2,0,0,0,0,0,0,0
